time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-21T10:34:43.311Z,31.1276,142.2906,10,4.1,mb,,137,2.888,0.82,us,us6000ge56,2021-12-21T11:33:41.040Z,"Izu Islands, Japan region",earthquake,11.6,1.9,0.126,17,reviewed,us,us
2021-12-21T08:54:26.124Z,-57.0692,-23.4707,10,4.9,mb,,85,7.869,0.37,us,us6000ge4s,2021-12-21T09:17:36.040Z,"South Sandwich Islands region",earthquake,12.6,1.9,0.109,26,reviewed,us,us
2021-12-21T07:50:56.844Z,-34.1372,-14.5989,10,4.9,mb,,114,25.341,0.78,us,us6000ge48,2021-12-22T07:34:06.040Z,"Tristan da Cunha region",earthquake,14.8,1.9,0.108,29,reviewed,us,us
2021-12-21T07:43:05.380Z,17.9333,-66.9535,9,2.7,md,14,222,0.0853,0.1,pr,pr2021355001,2021-12-21T08:08:14.440Z,"6 km SW of Guánica, Puerto Rico",earthquake,0.44,0.49,0.17,9,reviewed,pr,pr
2021-12-21T06:59:30.894Z,-3.5842,131.3184,10,4.7,mb,,80,1.139,0.59,us,us6000ge3x,2021-12-21T07:17:04.040Z,"267 km E of Amahai, Indonesia",earthquake,7.9,1.9,0.078,49,reviewed,us,us
2021-12-21T06:46:16.636Z,13.5772,-91.8995,35,4.3,mb,,194,2.084,0.55,us,us6000ge3t,2021-12-21T06:58:53.040Z,"79 km S of Champerico, Guatemala",earthquake,11,2,0.057,87,reviewed,us,us
2021-12-21T06:15:13.104Z,7.0977,-34.4388,10,4.9,mb,,71,12.923,0.49,us,us6000ge3p,2021-12-21T06:35:14.040Z,"central Mid-Atlantic Ridge",earthquake,4.8,1.9,0.081,48,reviewed,us,us
2021-12-21T05:53:31.040Z,40.3165,-124.6346667,20.63,2.74,md,28,259,0.2251,0.18,nc,nc73666866,2021-12-22T04:21:11.617Z,"30km W of Petrolia, CA",earthquake,1.05,0.36,0.077,21,reviewed,nc,nc
2021-12-21T05:53:27.005Z,-6.0052,122.1006,14.15,4.9,mb,,99,2.537,0.51,us,us6000ge3l,2021-12-21T06:13:41.040Z,"127 km SSW of Katabu, Indonesia",earthquake,6.1,4.8,0.082,47,reviewed,us,us
2021-12-21T05:04:14.419Z,27.6744,96.9825,39.3,4.6,mb,,44,4.194,0.46,us,us6000ge34,2021-12-21T06:24:36.040Z,"61 km SE of Hayuliang, India",earthquake,3.4,9.2,0.107,26,reviewed,us,us
2021-12-21T04:49:20.390Z,18.111,-67.207,19,2.78,md,23,180,0.123,0.23,pr,pr2021355000,2021-12-21T05:09:29.212Z,"Mona Passage",earthquake,0.74,0.3,0.18,16,reviewed,pr,pr
2021-12-21T04:34:19.950Z,40.4475,-124.2841667,27.54,3.76,mw,33,109,0.04941,0.13,nc,nc73666831,2021-12-22T11:54:29.674Z,"14km N of Petrolia, CA",earthquake,0.37,0.46,,2,reviewed,nc,nc
2021-12-21T04:24:35.761Z,-54.2477,-40.5074,10,5,mb,,128,2.357,0.58,us,us6000ge2u,2021-12-22T05:48:51.040Z,"South Atlantic Ocean",earthquake,13.6,1.9,0.094,36,reviewed,us,us
2021-12-21T04:13:06.140Z,40.4396667,-124.3566666,21.51,2.94,md,13,228,0.03873,0.07,nc,nc73666816,2021-12-22T05:40:37.040Z,"14km NNW of Petrolia, CA",earthquake,1.19,0.43,0.27,8,automatic,nc,nc
2021-12-21T04:08:12.374Z,12.7493,121.0521,10,4.9,mb,,120,10.588,0.91,us,us6000ge2q,2021-12-22T05:27:02.669Z,"19 km NE of Banos, Philippines",earthquake,11.9,1.9,0.078,52,reviewed,us,us
2021-12-21T03:44:06.210Z,40.4416656,-124.3548355,21.69,2.81,md,14,226,0.03636,0.06,nc,nc73666806,2021-12-22T05:17:12.040Z,"14km NNW of Petrolia, CA",earthquake,1.14,0.42,0.09,11,automatic,nc,nc
2021-12-21T03:36:17.888Z,-5.6641,146.7865,133.79,4.5,mb,,91,5.553,0.69,us,us6000ge2i,2021-12-22T04:09:19.040Z,"119 km N of Lae, Papua New Guinea",earthquake,8.6,9.2,0.111,24,reviewed,us,us
2021-12-21T03:26:39.360Z,40.4115,-124.2383333,26.83,3.84,mw,34,97,0.08995,0.14,nc,nc73666801,2021-12-22T11:24:27.614Z,"10km NNE of Petrolia, CA",earthquake,0.29,0.45,,2,reviewed,nc,nc
2021-12-21T03:18:38.750Z,40.4481659,-124.2440033,26.45,2.5,md,11,252,0.09903,0.09,nc,nc73666796,2021-12-21T03:25:11.102Z,"13km WSW of Rio Dell, CA",earthquake,2.48,2.04,0.18,7,automatic,nc,nc
2021-12-21T02:53:14.866Z,43.8108,145.9057,89.12,4.9,mww,,83,2.411,0.54,us,us6000ge25,2021-12-22T03:23:56.040Z,"24 km S of Yuzhno-Kurilsk, Russia",earthquake,8.1,5.7,0.093,11,reviewed,us,us
2021-12-21T02:46:05.958Z,31.4779,142.5657,10,4.8,mb,,98,5.988,0.67,us,us6000ge23,2021-12-22T02:52:46.040Z,"Izu Islands, Japan region",earthquake,9.9,1.9,0.045,150,reviewed,us,us
2021-12-21T02:31:55.340Z,40.3998333,-124.2411667,23.36,2.75,md,23,113,,0.07,nc,nc73666771,2021-12-22T04:06:11.526Z,"9km NNE of Petrolia, CA",earthquake,0.46,0.42,0.125,25,reviewed,nc,nc
